c_Pais,Descripcion,code,Formato de codigo postal,Formato de Registro de Identidad Tributaria,Validacion del Registro de Identidad Tributaria,Agrupaciones,entry_status,create_date,create_by,update_date,update_by
84,Guayana Francesa,GUF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
85,Guernsey,GGY,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
86,Guinea,GIN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
87,Guinea-Bisau,GNB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
88,Guinea Ecuatorial,GNQ,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
89,Guyana,GUY,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
90,Haiti,HTI,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
91,Honduras,HND,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
92,Hong Kong,HKG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
93,Hungria,HUN,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
94,India,IND,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
95,Indonesia,IDN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
96,Irak,IRQ,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
97,Iran (la Republica Islamica de),IRN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
98,Irlanda,IRL,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
99,Isla Bouvet,BVT,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
100,Isla de Man,IMN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
101,Isla de Navidad,CXR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
102,Isla Norfolk,NFK,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
