c_ClaveUnidad,Nombre,Descripción,Nota,Fecha de inicio de vigencia,Fecha de fin de vigencia,Símbolo,entry_status,create_date,create_by,update_date,update_by
L96,Año sideral,"Es el tiempo que trascurre entre dos pasos consecutivos de la Tierra por un mismo punto de su órbita, tomando como referencia a las estrellas.",,01/01/2022,,y (sidereal),,,,,
L98,Yarda por grado fahrenheit,,,01/01/2022,,yd/°F,,,,,
L99,Yarda por psi (libra por pulgada cuadrada),,,01/01/2022,,yd/psi,,,,,
LA,Libra por pulgada cúbica ,,,01/01/2022,,lb/in³,,,,,
LAC,Porcentaje de exceso de lactosa,Unidad de proporción que define el porcentaje de lactosa en un producto que excede un nivel de porcentaje definido.,,01/01/2022,,,,,,,
LBR,Libra,"Unidad monetaria de Irlanda (hasta su sustitución por el euro), Reino Unido, Chipre, Egipto, Líbano, Malta, Siria y otros países.",,01/01/2022,,lb,,,,,
LBT,Troy pound,,,01/01/2022,,,,,,,
LC,Centímetro lineal,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
LD,Litro por día,,,01/01/2022,,l/d,,,,,
LE,Lite,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
LEF,Hoja,Unidad de conteo que define el número de hojas.,,01/01/2022,,,,,,,
LF,Pie lineal,Unidad de conteo que define el número de pies (12 pulgadas) de longitud de un objeto de ancho uniforme.,,01/01/2022,,,,,,,
LH,Hora de trabajo,Unidad de tiempo que define el número de horas de trabajo.,,01/01/2022,,,,,,,
LI,Pulgada lineal,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
LJ,Spray grande,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
LK,Enlazar,Unidad de distancia igual a 0.01 cadena.,,01/01/2022,,,,,,,
LM,Metro lineal,Unidad de conteo que define el número de metros de longitud de un objeto de ancho uniforme.,,01/01/2022,,,,,,,
LN,Longitud,Unidad de distancia que define la extensión lineal de un elemento medido de extremo a extremo.,,01/01/2022,,,,,,,
LO,Lote [unidad de adquisición],Unidad de conteo que define el número de lotes (lote: una colección de artículos asociados).,,01/01/2022,,,,,,,
LP,Libra líquida,Unidad de masa que define el número de libras de una sustancia líquida.,,01/01/2022,,,,,,,
LPA,Litro de alcohol puro,Unidad de volumen igual a un litro de alcohol puro.,,01/01/2022,,,,,,,
LR,Capa ,Unidad de conteo que define el número de capas.,,01/01/2022,,,,,,,
LS,Suma global,Unidad de conteo que define el número de cantidades monetarias completas o completas.,,01/01/2022,,,,,,,
LTN,Tonelada (UK) o tonelada larga (estados unidos),Sinónimo: tonelada bruta (2240 ??lb),,01/01/2022,,ton (UK),,,,,
LTR,Litro,"Es una unidad de volumen equivalente a un decímetro cúbico (1 dm³). Su uso es aceptado en el Sistema Internacional de Unidades (SI), aunque ya no pertenece estrictamente a él.",,01/01/2022,,l,,,,,
LUB,"Tonelada métrica, aceite lubricante",Unidad de masa que define el número de toneladas métricas de aceite lubricante.,,01/01/2022,,,,,,,
LUM,Lumen,"El lumen es la unidad estándar del flujo luminoso de una fuente de luz. Es una unidad derivada del sistema internacional, basada en la candela.",,01/01/2022,,lm,,,,,
LUX,Lux,Un lux es la incidencia perpendicular de un lumen en una superficie de 1 metro cuadrado. Equivale a 0.0929 lúmenes.,,01/01/2022,,lx,,,,,
LX,Yarda lineal por libra,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
LY,Yarda lineal,Unidad de conteo que define el número de unidades de 36 pulgadas en longitud de un objeto de ancho uniforme.,,01/01/2022,,,,,,,
M0,cinta magnética,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
M1,Miligramo por litro,,,01/01/2022,,mg/l,,,,,
M10,Reciprocidad de la yarda cuadrada,,,01/01/2022,,1/yd³,,,,,
M11,Yarda cúbica por grado fahrenheit,,,01/01/2022,,yd³/°F,,,,,
M12,Yarda cúbica por día,,,01/01/2022,,yd³/d,,,,,
M13,Yarda cúbica por hora ,,,01/01/2022,,yd³/h,,,,,
M14,Yarda cúbica por psi (libra por pulgada cuadrada),,,01/01/2022,,yd³/psi,,,,,
M15,Yarda cúbica por minuto,,,01/01/2022,,yd³/min,,,,,
M16,Yarda cúbica por segundo,,,01/01/2022,,yd³/s,,,,,
M17,Kilohertz metro,,,01/01/2022,,kHz·m,,,,,
M18,Gigahertz metro,,,01/01/2022,,GHz·m,,,,,
M19,Beaufort,"Una medida empírica para describir la velocidad del viento basada principalmente en condiciones marinas observadas. La escala de Beaufort indica la velocidad del viento por números que típicamente varían de 0 para la calma, a 12 para el huracán.",,01/01/2022,,Bft,,,,,
M20,Recíproco de megakelvin o megakelvin a la potencia menos 1,,,01/01/2022,,1/MK,,,,,
M21,Kilovoltio-amperio hora reciprocidad,,,01/01/2022,,1/kVAh,,,,,
M22,Milímetro por centímetro cuadrado minuto,,,01/01/2022,,(ml/min)/cm²,,,,,
M23,Newton por centímetro,,,01/01/2022,,N/cm,,,,,
M24,Ohm kilómetro,,,01/01/2022,,?·km,,,,,
M25,Porcentaje por grado celsius,"Unidad de proporción, igual a 0,01, en relación a una temperatura de un grado.",,01/01/2022,,%/°C,,,,,
M26,GigaOhm por metro,,,01/01/2022,,G?/m,,,,,
M27,Megahertz metro,,,01/01/2022,,MHz·m,,,,,
M29,Kilogramo por kilogramo,,,01/01/2022,,kg/kg,,,,,
M30,voltio-amperio segundo reciprocidad,,,01/01/2022,,1/(V·A·s),,,,,
M31,Kilogramo por kilómetro,,,01/01/2022,,kg/km,,,,,
M32,Segundos pascal por litro,,,01/01/2022,,Pa·s/l,,,,,
M33,MiliMol por litro,,,01/01/2022,,mmol/l,,,,,
M34,Newton metro por metro cuadrado,,,01/01/2022,,N·m/m²,,,,,
M35,Milivoltio - amperio,,,01/01/2022,,mV·A,,,,,
M36,Mes de 30 días,"Unidad de cuenta que define el número de meses expresado en múltiplos de 30 días, un día es igual a 24 horas.",,01/01/2022,,mo (30 days),,,,,
M37,Actual 360,"Unidad de cuenta que define el número de años expresado en múltiplos de 360 días, un día es igual a 24 horas.",,01/01/2022,,y (360 days),,,,,
M38,Kilómetro por segundo cuadrado,1000 veces de la unidad base del sistema internacional dividido por la potencia de la unidad base del sistema internacional por el segundo al  exponente 2.,,01/01/2022,,km/s²,,,,,
M39,Centímetro por segundo cuadrado,0.01 veces de unidad de base del sistema internacional dividido por la potencia de la unidad de base del sistema internacional en segundo lugar por el exponente 2.,,01/01/2022,,cm/s²,,,,,
M4,Valor monetario,Unidad de medida expresada como un monto monetario.,,01/01/2022,,,,,,,
M40,Yarda por segundo cuadrado,"Unidad de longitud de acuerdo con el sistema Anglo-Americano y el sistema imperial de unidades, dividido por la potencia de la unidad del sistema internacional, segundo elevado al exponente 2.",,01/01/2022,,yd/s²,,,,,
M41,Milímetro por segundo cuadrado,"0.001 veces de unidad de base del sistema internacional, dividido por la potencia de la unidad de base del sistema internacional por el segundo exponente 2.",,01/01/2022,,mm/s²,,,,,
M42,Milla (milla estatal)  por segundo cuadrado,Unidad de la longitud según el sistema Imperial de unidades dividido por la potencia de la unidad base del sistema internacional por segundo por el exponente 2.,,01/01/2022,,mi/s²,,,,,
M43,Mil (unidad de Medida Militar),"Unidad para indicar un ángulo en la zona militar, igual a la 6400ª parte del círculo completo del 360° ó 2  pi radian.",,01/01/2022,,mil,,,,,
M44,Revolución,Unidad para identificar un ángulo de un círculo de 360 grados ó 2*pi*radio (Referencia ISO/TC12 SI Guía).,,01/01/2022,,rev,,,,,
M45,Grado por segundo cuadrado,360 partes de un círculo completo dividido por la potencia de la unidad de base SI en segundo lugar y el exponente 2.,,01/01/2022,,°/s²,,,,,
M46,Revolución por minuto,,,01/01/2022,,r/min,,,,,
M47,Circular Mil,Unidad que representa el área del círculo de un mil de diámetro.,,01/01/2022,,cmil,,,,,
M48,Milla cuadrada (basado en u.s survey foot),Unidad de área que es principalmente usada en la agricultura y en la forestación.,,01/01/2022,,mi² (US survey),,,,,
M49,Cadena ," Es una unidad de longitud utilizada para medir terrenos. Equivale a 20,1168 metros, y en inglés se llama surveyor chain.",,01/01/2022,,ch (US survey) ,,,,,
M5,Microcurie,,,01/01/2022,,µCi,,,,,
M50,Estadio,Unidad comunmente usada en Gran Bretaña en distancias rurales: 1 furlong = 40 rods = 10 cadenas (UK) =1/8 de milla = 1/10 furlong = 220 yardas =660 pies.,,01/01/2022,,fur,,,,,
M51,Pie (Topografía UEA),Unidad comunmente usada en los estados unidos para la inspección de artillería.,,01/01/2022,,ft (US survey) ,,,,,
M52,Milla,Unidad comunmente usada en los Estados Unidos para la inspección de artillería.,,01/01/2022,,mi (US survey) ,,,,,
M53,Metro por pascal,"Metro, unidad del Sistema Internacional dividido por Pascal, Unidad del Sistema Internacional",,01/01/2022,,m/Pa,,,,,
M55,Metro por radián,Unidad del factor de conversión para la implementación de rotación a movimiento lineal.,,01/01/2022,,m/rad,,,,,
M56,Shake ,Unidad para un periódo muy corto.,,01/01/2022,,shake,,,,,
M57,Milla por minuto,Unidad de velocidad del sistema inglés de unidades.,,01/01/2022,,mi/min,,,,,
M58,Milla por segundo,Unidad de velocidad del sistema inglés de unidades.,,01/01/2022,,mi/s,,,,,
M59,Metro por segundo pascal,Metro dividido por el producto de SI unidad base segundo y el derivado unidad SI pascal.,,01/01/2022,,(m/s)/Pa,,,,,
M60,Metro por hora,"Metro,unidad del sistema internacional dividido por la unidad de hora.",,01/01/2022,,m/h,,,,,
M61,Pulgada por año,Unidad de longitud según el sistema de unidades Anglo-Americano y el sistema Imperial de unidades dividido por la unidad común año de 365 días.,,01/01/2022,,in/y,,,,,
M62,Kilómetro por segundo,1000 veces del medidor de unidad de base SI dividido por la segunda unidad de base SI.,,01/01/2022,,km/s,,,,,
M63,Pulgada por minuto,Unidad de pulgada de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por el minuto de unidad.,,01/01/2022,,in/min,,,,,
M64,Yarda por segundo,Unidad de yarda de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por la unidad de base segundo.,,01/01/2022,,yd/s,,,,,
M65,Yarda por minuto,Unidad de yarda de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por el minuto de unidad.,,01/01/2022,,yd/min,,,,,
M66,Yarda por hora,"Unidad de yarda de acuerdo con el sistema Anglo-Americano y el sistema Imperial de unidades, dividido por la unidad de minuto.",,01/01/2022,,yd/h,,,,,
M67,Acre-pie,"Unidad de volúmen, la cúal es usada en los Estados Unidos para medir la capacidad de las presas.",,01/01/2022,,acre-ft (US survey),,,,,
M68,Cordón,Unidad tradicional del volumen de leña apilada que se ha medido con un cordón.,,01/01/2022,,cord,,,,,
M69,Milla cúbica (reinounido),,,01/01/2022,,mi³,,,,,
M7,Micro-pulgada,,,01/01/2022,,µin,,,,,
M70,Unidad tradicional de capacidad de carga,,,01/01/2022,,RT,,,,,
M71,Metro cúbico por pascal (joules),"Unidad de Energía del sistema internacional, metro elevado al exponente 3 y dividido por la unidad pascal.",,01/01/2022,,m³/Pa,,,,,
M72,Bel,"las décimas de bel, o decibeles. El logaritmo de la relación del sonido o la señal con un estándar proporciona la medición del decibel. ... El símbolo correspondiente a la unidad es B, pero dB es la unidad estándar.",,01/01/2022,,B,,,,,
M73,Kilogramo por metro cúbico pascal,"Unidad base del sistema internacional kilogramo, dividido por el producto de metro elevado al exponente 3 por pascal.",,01/01/2022,,(kg/m³)/Pa,,,,,
M74,Kilogramo por pascal,,,01/01/2022,,kg/Pa,,,,,
M75,Kilolibra fuerza,"100 veces la unidad de fuerza, libra fueza de acuerdo con la relación del sistema de unidades  Anglo-Americano",,01/01/2022,,kip,,,,,
M76,Poundal,"Unidad no conforme al sistema internacional de la potencia, que corresponde a una masa de una libra multiplicada con la aceleración de un pie por segundo cuadrado.",,01/01/2022,,pdl,,,,,
M77,Kilogramo metro por segundo cuadrado,"Producto del kilogramo,unidad base del sistema internacional y del metro, unidad base del sistema internacional dividido por la potencia del segundo elevado al exponente 2.",,01/01/2022,,kg·m/s²,,,,,
M78,Pond,"0.001 veces de la unidad del peso, definida como una masa de 1 kg que se encuentra sobre una fuerza de peso de 1 kp por la fuerza gravitatoria al nivel del mar, que corresponde a una fuerza de 9,806 65 newton.",,01/01/2022,,p,,,,,
M79,Pie cuadrado por hora,"Potencia de la unidad pie, de acuerdo con el sistema Anglo-Americano e Imperial de unidades, elevado al exponente 2 y dividido por la unidad derivada pascal del sistema internacional de unidades.",,01/01/2022,,ft²/h,,,,,
M80,Stokes por pascal,"CGS (Centímetro-Gramo-Segundo sistema) unidad stokes dividido por la unidad derivada del sistema internacional, pascal.",,01/01/2022,,St/Pa,,,,,
M81,Centímetro cuadrado por segundo,,,01/01/2022,,cm²/s,,,,,
M82,Metro cuadrado por segundo pascal,"Potencia de la unidad base, metro, del sistema internacional con el exponente 2, dividido por la unidad base, segundo, y la unidad derivada, pascal, ambas del sistema internacional.",,01/01/2022,,(m²/s)/Pa,,,,,
M83,Denier,Unidad tradicional para la indicación de la masa lineal de fibras e hilados textiles.,,01/01/2022,,den,,,,,
M84,Libra por yarda ,Unidad de masa lineal según el sistema de unidades avoirdupois.,,01/01/2022,,lb/yd,,,,,
M85,"Tonelada, ensayo","Unidad de masa no conforme al sistema internacional, utilizada en la mineralogía para determinar la concentración de metales preciosos en el mineral de acuerdo con la masa del metal precioso en miligramos en una muestra de la masa de un sonido de ensayo (número de onzas troy en una tonelada corta (1 000 lb)).",,01/01/2022,,,,,,,
M86,Libra Alemana,Anticuada unidad de masa usada en Alemania.,,01/01/2022,,pfd,,,,,
M87,Kilogramo por segundo pascal,Es la unidad base kilogramo dividido por el producto de la unidad base segundo y la derivada de la unidad pascal.,,01/01/2022,,(kg/s)/Pa,,,,,
M88,Tonelada por mes,Unidad tonelada métrica dividida por la unidad mes,,01/01/2022,,t/mo,,,,,
M89,Tonelada por año,Unidad tonelada métrica dividida por la unidad año con 365 días,,01/01/2022,,t/y,,,,,
M9,Millones de btu por 1000 pies cúbicos,,,01/01/2022,,MBTU/kft³,,,,,
M90,Kilolibra por hora,1000 veces la unidad de la masa libra avoirdupois de acuerdo con el sistema unitario avoirdupois dividido por la unidad de hora.,,01/01/2022,,klb/h,,,,,
M91,Libra por libra,Proporción de la masa consistente en la libra avoirdupois según el sistema unitario avoirdupois dividido por la libra avoirdupois según el sistema unitario avoirdupois.,,01/01/2022,,lb/lb,,,,,
M92,Libra fuerza pie,"Producto de la unidad libra fuerza, de acuerdo con el sistema de unidades Anglo-Americano, y la unidad pie, de acuerdo con el sistema de unidades, Anglo-Americano y el sistema imperial de unidades.",,01/01/2022,,lbf·ft,,,,,
M93,Newton metro por radián,"Producto de la unidad derivada del sistema internacional, newton y de la unidad base , metro, dividida por la unidad radián.",,01/01/2022,,N·m/rad,,,,,
M94,Kilogramo metro,Unidad de desequilibrio como producto del kilogramo  y el metro.,,01/01/2022,,kg·m,,,,,
M95,Poundal pie,"Producto de la unidad poundal, no conforme al sistema internacional de unidades, y la unidad pie, de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial.",,01/01/2022,,pdl·ft,,,,,
M96,Poundal pulgada,"Producto de la unidad poundal, no conforme al sistema internacional de unidades, y la unidad pulgada, de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial.",,01/01/2022,,pdl·in,,,,,
M97,Dina metro,CGS (Centímetro-Gramo-Segundo sistema) unidad del momento de rotación.,,01/01/2022,,dyn·m,,,,,
M98,Kilogramo centímetro por segundo,Producto del kilogramo de unidad de base SI y  0.01 veces de metro unidad de base SI dividido por la unidad de base SI en segundo.,,01/01/2022,,kg·(cm/s),,,,,
M99,Gramo centímetro por segundo,"Producto del 0.001 veces del kilogramo de la unidad base SI y el 0,01 veces del metro de la unidad base SI dividido por la unidad base SI, segundo.",,01/01/2022,,g·(cm/s),,,,,
MA,Máquina por unidad,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
MAH,Megavoltio amperio reactivo hora,Define la cantidad total de potencia reactiva a través de un sistema de potencia.,,01/01/2022,,Mvar·h,,,,,
MAL,Megalitro,,,01/01/2022,,Ml,,,,,
MAM,Megametro,Es la unidad de longitud que equivale a un millón de metros.,,01/01/2022,,Mm,,,,,
MAR,Megavar,Una unidad de potencia reactiva eléctrica representada por una corriente de mil amperios que fluye debido a una diferencia de potencial de mil voltios donde el seno del ángulo de fase entre ellos es 1.,,01/01/2022,,kvar,,,,,
MAW,Megawatt,Unidad de potencia que define la tasa de energía transferida o consumida cuando una corriente de 1000 amperios fluye debido a un potencial de 1000 volts al factor de potencia unitario.,,01/01/2022,,MW,,,,,
MBE,Mil equivalente de ladrillo estándar,Unidad de cuenta que define el número de mil unidades equivalentes de ladrillo.,,01/01/2022,,,,,,,
MBF,Mil pies de tabla,,,01/01/2022,,,,,,,
MBR,Milibar,,,01/01/2022,,mbar,,,,,
MC,Microgramo,,,01/01/2022,,µg,,,,,
MCU,Milicurie,,,01/01/2022,,mCi,,,,,
MD,Tonelada métrica seca al aire,"Unidad de conteo que define el número de toneladas métricas de un producto, sin tener en cuenta el contenido de agua del producto.",,01/01/2022,,,,,,,
MF,Miligramo por pie cuadrado por lado,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
MGM,Miligramo,"Medida de masa, de símbolo mg, que es igual a la milésima parte de un gramo.",,01/01/2022,,mg,,,,,
MHZ,Megahertz,Medida de frecuencia que es igual a 1 millón de hertz.,,01/01/2022,,MHz,,,,,
MIK,Milla cuadrada (milla estatal), Es una unidad de superficie equivalente a un cuadrado cuyos lados miden una milla estatutaria.,,01/01/2022,,mi²,,,,,
MIL,Mil,"Es un número natural que se escribe 1000 o 10³ en notación científica, y que sigue del 999 y precede al 1001.",,01/01/2022,,,,,,,
MIN,Minuto [unidad de tiempo],"Es una unidad de tiempo que equivale a la sexagésima parte de una hora. También comprende 60 segundos. Su símbolo es min (adviértase que no es una abreviatura: no admite mayúscula, ni punto, ni plural). ",,01/01/2022,,min,,,,,
MIO,Millón,"Es igual a mil millares, o 106. El concepto de millón también se puede expresar mediante el prefijo mega antepuesto a unidades del SI. Etimología: millón proviene del término italiano milione (del latín: mille).",,01/01/2022,,,,,,,
MIU,Unidad internacional de millón,Unidad de cuenta que define el número de unidades internacionales en múltiplos de 106.,,01/01/2022,,,,,,,
MK,Miligramo por pulgada cuadrada,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,Mg / in²,,,,,
MLD,Mil millones,Sinónimo: billon (US),,01/01/2022,,,,,,,
MLT,Mililitro,"Medida de volumen, de símbolo ml, que es igual a la milésima parte de un litro.",,01/01/2022,,ml,,,,,
MMK,Milímetro cuadrado,"Medida de longitud, de símbolo mm, que es igual a la milésima parte de un metro.",,01/01/2022,,mm²,,,,,
MMQ,Milímetro cúbico,"Medida de longitud, de símbolo mm, que es igual a la milésima parte de un metro.",,01/01/2022,,mm³,,,,,
MMT,Milímetro,Es una unidad de longitud. Es el tercer submúltiplo del metro y equivale a la milésima parte de él. ,,01/01/2022,,mm,,,,,
MND,"Kilogramo, peso seco","Unidad de masa que define el número de kilogramos de un producto, sin tener en cuenta el contenido de agua del producto.",,01/01/2022,,,,,,,
MON,Mes ,Unidad de tiempo equivalente a 1/12 de año de 365.25 días.,,01/01/2022,,mo,,,,,
MPA,Megapascal,,,01/01/2022,,MPa,,,,,
MQ,Mil metros,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
MQH,Metro cúbico por hora,,,01/01/2022,,m³/h,,,,,
MQS,Metro cúbico por segundo,,,01/01/2022,,m³/s,,,,,
MSK,Metro por segundo cuadrado,"Es la aceleración de un cuerpo, animado de movimiento uniformemente variado, cuya velocidad varía cada segundo, 1 m/s. ",,01/01/2022,,m/s²,,,,,
MTK,Metro cuadrado,Es la unidad básica de superficie en el Sistema Internacional de Unidades. Si a esta unidad se antepone un prefijo del Sistema Internacional se crea un múltiplo o submúltiplo de esta.,,01/01/2022,,m²,,,,,
MTQ,Metro cúbico,Sinónimo: metro cúbico,,01/01/2022,,m³,,,,,
MTR,Metro,El metro (símbolo m) es la principal unidad de longitud del Sistema Internacional de Unidades. Un metro es la distancia que recorre la luz en el vacío en un intervalo de 1/299 792 458 de segundo.,,01/01/2022,,m,,,,,
MTS,Metro por segundo,"Es la velocidad de un cuerpo que, con movimiento uniforme, recorre, una longitud de un metro en 1 segundo .",,01/01/2022,,m/s,,,,,
MV,Número de mults,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
MVA,Megavoltio - amperio,,,01/01/2022,,MV·A,,,,,
MWH,Megawatt hora,Unidad de potencia que define la cantidad total de energía a granel transferida o consumida.,,01/01/2022,,MW·h,,,,,
N1,Pluma calórica,Unidad de conteo que define el número de calorías que se recetan diariamente para la terapia parenteral / enteral.,,01/01/2022,,,,,,,
N10,Libra pie por segundo,"Producto de la libra avoirdupois de acuerdo con el sistema de unidades avoirdupois y el pie de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial, dividido por la unidad segundo del sistema interacional.",,01/01/2022,,lb·(ft/s),,,,,
N11,Libra pulgada por segundo,"Producto de la libra avoirdupois de acuerdo con el sistema de unidades avoirdupois y la pulgada de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial, dividido por la unidad segundo del sistema interacional.",,01/01/2022,,lb·(in/s),,,,,
N12,Pferdestaerke,Unidad obsoleta de la potencia relativa a DIN 1301-3: 1979: 1 PS = 735.498 75 W.,,01/01/2022,,PS,,,,,
N13,Centímetro de mercurio (0°),"Unidad de presión no conforme al sistema internacional, en la cuál el valor de 1 cmHg cumple con la presión estática, que es generada por un mercurio a una temperatura de 0 ° C con una altura de 1 centímetro.",,01/01/2022,,cmHg (0 ºC),,,,,
N14,Centímetro de agua (4°),"Unidad de presión no conforme al sistema internacional, en la cuál el valor de 1 cmH2O cumple con la presión estática, que es generada por una cabeza de agua a una temperatura de 4 ° C con una altura de 1 centímetro.",,01/01/2022,,cmH?O (4 °C),,,,,
N15,Pie de agua (39.2 °f),"Unidad de presión no conforme al sistema internacional, de acuerdo con el sistema Anglo-Americano e Imperial para unidades, mientras que el valor de 1 ft H2O es equivalente a la presión estática, que es generada por una cabeza de agua a una temperatura de 39,2 ° F con una Altura de 1 pie.",,01/01/2022,,"ftH?O (39,2 ºF)",,,,,
N16,Pulgada de mercurio (32 °f),"Unidad de presión no conforme al sistema internacional, de acuerdo con el sistema Anglo-American e Imperial para unidades, mientras que el valor de 1 inHg cumple con la presión estática, que es generada por un mercurio a una temperatura de 32 ° F con una altura de 1 pulgada.",,01/01/2022,,inHG (32 ºF),,,,,
N17,Pulgada de mercurio (60 °f),"Unidad de presión no conforme al sistema internacional sino según al sistema Anglo-Americano e Imperial para unidades, mientras que el valor de 1 in Hg satisface la presión estática, que es generada por un mercurio a una temperatura de 60 ° F con una altura de 1 pulgada.",,01/01/2022,,inHg (60 ºF),,,,,
N18,Pulgada de agua (39.2 °f),"Unidad de presión no conforme al sistema internacional sino de acuerdo con el sistema Anglo-Americano e Imperial para unidades, mientras que el valor de 1 inH2O satisface la presión estática, que es generada por una cabeza de agua a una temperatura de 39,2 ° F con una altura De 1 pulgada.",,01/01/2022,,"inH?O (39,2 ºF)",,,,,
N19,Pulgada de agua (60 °f),"Unidad de presión no conforme al sistema internacional sino según al sistema Anglo-Americano e Imperial para unidades, mientras que el valor de 1 inH2O satisface la presión estática, que es generada por una cabeza de agua a una temperatura de 60 ° F con una altura de 1 pulgada.",,01/01/2022,,inH?O (60 ºF),,,,,
N2,número de líneas,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
N20,Kip por pulgada cuadrada,Unidad de presión no conforme al sistema internacional de unidades sino de acuerdo con el sistema Anglo-Americano de unidades como el 1000 veces de la unidad de fuerza de libra fuerza dividida por la potencia de la unidad de pulgada por el exponente 2.,,01/01/2022,,ksi,,,,,
N21,Poundal por pie cuadrado,"Unidad de presión no conforme al sistema internacional según el sistema Imperial de unidades según NIST: 1 pdl / ft² = 1,488 164 Pa.",,01/01/2022,,pdl/ft²,,,,,
N22,Onza (avoirdupois) por pulgada cuadrada,Unidad de la masa específica de la superficie (onza de avoirdupois según el sistema del avoirdupois de unidades según la superficie pulgada cuadrada según el sistema Anglo-Americano e imperial de unidades).,,01/01/2022,,oz/in²,,,,,
N23,Metro convencional de agua,"No es una unidad de presión del sistema internacional, mientras que un valor de 1 mH2O es equivalente a la presión estática, que es producida por una columna de agua de un metro de alto.",,01/01/2022,,mH?O,,,,,
N24,Gramo por milímetro cuadrado,"0.001 veces el kilo de unidad de basedel sistema internacional dividido por el 0,000 001 veces de la potencia del medidor de unidad de base del sistema internacional por el exponente 2.",,01/01/2022,,g/mm²,,,,,
N25,Libra por yarda cuadrada,Unidad para la masa relacionada con el área como una unidad de la libra según el sistema de la unidad del avoirdupois dividido por la potencia del patio de la unidad según el sistema Anglo-Americano e imperial de unidades con el exponente 2.,,01/01/2022,,lb/yd²,,,,,
N26,Poundal por pulgada cuadrada,Unidad de presión no conforme al sistema internacional sino según el sistema Imperial de unidades (poundal por pulgada cuadrada).,,01/01/2022,,pdl/in²,,,,,
N27,Pie a la cuarta potencia ,"Potencia de la unidad pie, de acuerdo con el sistema Anglo-Americano e Imperial de unidades, elevado al exponente 4 de acuerdo con NIST: 1 ft4 = 8,630 975 m4.",,01/01/2022,,ft?,,,,,
N28,Decímetro cúbico por kilogramo,"0.001 veces de metro, unidad base  del sistema internacional elevado al exponente 3 dividido por el kilogramo.",,01/01/2022,,dm³/kg,,,,,
N29,Pie cúbico por libra ,"Potencia del pie, unidad de acuerdo con el sistema de unidades Anglo-Americanas e Imperial elevado al exponente 3 dividido por la libra de la unidad avoirdupois según el sistema unitario avoirdupois.",,01/01/2022,,ft³/lb,,,,,
N3,Impresión de punto,,,01/01/2022,,,,,,,
N30,Pulgada cúbica por libra,Potencia de la unidad pulgada según el sistema Anglo-Americano e Imperial de unidades elevado al exponente 3 dividido por la libra avoirdupois según el sistema unitario avoirdupois.,,01/01/2022,,in³/lb,,,,,
N31,Kilonewton por metro,"1000 veces de la unidad derivada newton dividido por el metro, ambas unidades del sistema internacional.",,01/01/2022,,kN/m,,,,,
